date,PRC,sprtrn
20110323,159.53000,0.002914
20110324,160.03999,0.009341
20110325,162.17999,0.003161
20110328,161.37000,-0.002748
20110329,162.88000,0.007060
20110330,163.60001,0.006685
20110331,163.07001,-0.001829
20110401,164.27000,0.004963
20110404,164.25000,0.000345
20110405,163.99001,-0.000180
20110406,164.03999,0.002184
20110407,164.38000,-0.001520
20110408,164.05000,-0.004004
20110411,163.95000,-0.002793
20110412,163.25000,-0.007777
20110413,163.95000,0.000190
20110414,164.97000,0.000084
20110415,166.21001,0.003925
20110418,165.94000,-0.011018
20110419,165.39999,0.005731
20110420,164.75000,0.013515
20110421,168.28000,0.005277
20110425,167.67000,-0.001593
20110426,168.49001,0.008980
20110427,170.37000,0.006250
20110428,170.78000,0.003555
20110429,170.58000,0.002301
20110502,172.14999,-0.001753
20110503,172.87000,-0.003379
20110504,170.62000,-0.006855
20110505,168.46001,-0.009070
20110506,168.89000,0.003820
20110509,169.10001,0.004544
20110510,170.38000,0.008074
20110511,169.50000,-0.011111
20110512,172.24001,0.004895
20110513,169.92000,-0.008067
20110516,168.86000,-0.006204
20110517,170.50000,-0.000369
20110518,170.44000,0.008804
20110519,170.59000,0.002178
20110520,170.16000,-0.007688
20110523,168.25999,-0.011926
20110524,167.99001,-0.000827
20110525,167.75000,0.003183
20110526,167.17999,0.003953
20110527,167.50000,0.004081
20110531,168.92999,0.010593
20110601,166.56000,-0.022785
20110602,166.09000,-0.001225
20110603,165.05000,-0.009734
20110606,164.75000,-0.010760
20110607,163.69000,-0.000956
20110608,164.34000,-0.004187
20110609,164.84000,0.007378
20110610,163.17999,-0.013980
20110613,163.17000,0.000669
20110614,164.12000,0.012612
20110615,162.33000,-0.017432
20110616,162.67000,0.001754
20110617,164.44000,0.003045
20110620,165.02000,0.005395
20110621,166.22000,0.013423
20110622,165.67999,-0.006468
20110623,166.12000,-0.002828
20110624,165.07001,-0.011726
20110627,167.62000,0.009184
20110628,170.00999,0.012944
20110629,170.53999,0.008283
20110630,171.55000,0.010119
20110701,174.53999,0.014410
20110705,175.42999,-0.001336
20110706,177.71001,0.001002
20110707,176.48000,0.010454
20110708,176.49001,-0.006961
20110711,174.99001,-0.018090
20110712,174.05000,-0.004434
20110713,174.32001,0.003106
20110714,174.23000,-0.006716
20110715,175.53999,0.005554
20110718,175.28000,-0.008130
20110719,185.21001,0.016309
20110720,183.64999,-0.000671
20110721,184.89999,0.013546
20110722,185.17999,0.000908
20110725,183.70000,-0.005643
20110726,182.92999,-0.004105
20110727,181.35001,-0.020309
20110728,181.80000,-0.003234
20110729,181.85001,-0.006451
20110801,180.75000,-0.004132
20110802,178.05000,-0.025557
20110803,178.83000,0.005016
20110804,171.48000,-0.047820
20110805,172.98000,-0.000575
20110808,166.22000,-0.066634
20110809,170.61000,0.047407
20110810,162.53999,-0.044152
20110811,166.73000,0.046290
20110812,168.20000,0.005262
20110815,172.99001,0.021785
20110816,171.24001,-0.009739
20110817,171.48000,0.000947
20110818,163.83000,-0.044594
20110819,157.53999,-0.015009
20110822,158.98000,0.000258
20110823,164.32001,0.034285
20110824,166.75999,0.013120
20110825,165.58000,-0.015566
20110826,169.14000,0.015122
20110829,172.62000,0.028280
20110830,172.50999,0.002347
20110831,171.91000,0.004922
20110901,170.33000,-0.011871
20110902,166.98000,-0.025282
20110906,165.11000,-0.007436
20110907,167.31000,0.028646
20110908,165.25000,-0.010612
20110909,161.37000,-0.026705
20110912,162.42000,0.006966
20110913,163.42999,0.009120
20110914,167.24001,0.013480
20110915,170.09000,0.017187
20110916,172.99001,0.005707
20110919,173.13000,-0.009803
20110920,174.72000,-0.001661
20110921,173.02000,-0.029390
20110922,168.62000,-0.031883
20110923,169.34000,0.006082
20110926,174.50999,0.023336
20110927,177.71001,0.010688
20110928,177.55000,-0.020691
20110929,179.17000,0.008114
20110930,174.87000,-0.024974
20111003,173.28999,-0.028451
20111004,174.74001,0.022488
20111005,176.85001,0.017866
20111006,181.69000,0.018304
20111007,182.39000,-0.008163
20111010,186.62000,0.034125
20111011,185.00000,0.000544
20111012,186.12000,0.009795
20111013,186.82001,-0.002974
20111014,190.53000,0.017380
20111017,186.59000,-0.019370
20111018,178.89999,0.020419
20111019,177.39000,-0.012649
