PERMNO,date,TICKER,PRC,vwretd,ewretd
18542,20070924,CAT,77.72000,-0.004466,-0.004006
18542,20070925,CAT,76.37000,-0.000438,-0.002189
18542,20070926,CAT,76.66000,0.005504,0.005468
18542,20070927,CAT,77.47000,0.005354,0.006289
18542,20070928,CAT,78.43000,-0.002692,-0.001759
18542,20071001,CAT,79.56000,0.013721,0.012510
18542,20071002,CAT,79.64000,0.000499,0.004613
18542,20071003,CAT,78.56000,-0.005147,-0.003678
18542,20071004,CAT,78.64000,0.002715,0.003147
18542,20071005,CAT,80.33000,0.011821,0.012578
18542,20071008,CAT,81.34000,-0.003017,-0.002330
18542,20071009,CAT,82.51000,0.008051,0.006015
18542,20071010,CAT,81.16000,-0.000239,0.001133
18542,20071011,CAT,79.44000,-0.005187,-0.007075
18542,20071012,CAT,80.30000,0.005320,0.005038
18542,20071015,CAT,78.84000,-0.008590,-0.008211
18542,20071016,CAT,77.75000,-0.007031,-0.006445
18542,20071017,CAT,77.13000,0.002859,0.001282
18542,20071018,CAT,77.66000,0.000367,0.000275
18542,20071019,CAT,73.57000,-0.024576,-0.020862
18542,20071022,CAT,73.50000,0.003269,0.003888
18542,20071023,CAT,74.42000,0.010243,0.007452
18542,20071024,CAT,75.79000,-0.003234,-0.004885
18542,20071025,CAT,74.67000,-0.001015,-0.002178
18542,20071026,CAT,75.04000,0.013810,0.010359
18542,20071029,CAT,73.90000,0.005372,0.002905
18542,20071030,CAT,73.46000,-0.006909,-0.005777
18542,20071031,CAT,74.61000,0.013176,0.009573
18542,20071101,CAT,73.31000,-0.025899,-0.024110
18542,20071102,CAT,74.76000,0.002058,-0.000496
18542,20071105,CAT,73.50000,-0.006617,-0.009896
18542,20071106,CAT,74.92000,0.012834,0.006438
18542,20071107,CAT,73.60000,-0.026874,-0.022753
18542,20071108,CAT,72.43000,-0.000579,-0.001326
18542,20071109,CAT,70.41000,-0.015036,-0.010192
18542,20071112,CAT,69.60000,-0.014021,-0.011189
18542,20071113,CAT,71.07000,0.027895,0.018369
18542,20071114,CAT,70.03000,-0.005795,-0.004734
18542,20071115,CAT,69.73000,-0.014097,-0.011762
18542,20071116,CAT,69.44000,0.004582,-0.001511
18542,20071119,CAT,68.20000,-0.018683,-0.020127
18542,20071120,CAT,68.28000,0.003993,-0.003493
18542,20071121,CAT,67.94000,-0.015272,-0.011390
18542,20071123,CAT,68.63000,0.016334,0.015283
18542,20071126,CAT,67.83000,-0.020452,-0.016998
18542,20071127,CAT,68.82000,0.012176,0.003977
18542,20071128,CAT,71.19000,0.029405,0.024263
18542,20071129,CAT,71.72000,-0.000342,-0.000088
18542,20071130,CAT,71.90000,0.007110,0.007040
18542,20071203,CAT,72.06000,-0.005530,-0.006714
18542,20071204,CAT,72.01000,-0.007249,-0.007345
18542,20071205,CAT,72.71000,0.014453,0.010811
18542,20071206,CAT,74.35000,0.015725,0.016994
18542,20071207,CAT,74.20000,-0.000221,0.002029
18542,20071210,CAT,76.58000,0.007780,0.005163
18542,20071211,CAT,73.72000,-0.025430,-0.020362
18542,20071212,CAT,73.82000,0.005687,0.002328
18542,20071213,CAT,74.22000,-0.000990,-0.005211
18542,20071214,CAT,73.39000,-0.013467,-0.013185
18542,20071217,CAT,71.16000,-0.016014,-0.017896
18542,20071218,CAT,71.05000,0.006427,0.007592
18542,20071219,CAT,70.84000,-0.000332,0.000468
18542,20071220,CAT,71.51000,0.006286,0.005770
18542,20071221,CAT,72.73000,0.017093,0.015064
18542,20071224,CAT,72.70000,0.009141,0.009065
18542,20071226,CAT,73.69000,0.001497,0.003201
18542,20071227,CAT,72.73000,-0.013539,-0.014165
18542,20071228,CAT,73.16000,0.002045,-0.000388
18542,20071231,CAT,72.56000,-0.006527,0.001093
18542,20080102,CAT,70.63000,-0.011796,-0.006580
18542,20080103,CAT,70.38000,-0.000954,-0.004544
18542,20080104,CAT,68.53000,-0.025647,-0.022417
18542,20080107,CAT,68.73000,0.000200,-0.001854
18542,20080108,CAT,67.15000,-0.017023,-0.014033
18542,20080109,CAT,67.23000,0.010004,-0.000434
18542,20080110,CAT,67.41000,0.008402,0.009699
18542,20080111,CAT,66.01000,-0.013901,-0.011295
18542,20080114,CAT,67.27000,0.010452,0.007797
18542,20080115,CAT,65.40000,-0.024730,-0.018427
18542,20080116,CAT,64.27000,-0.006659,-0.000088
18542,20080117,CAT,62.47000,-0.027717,-0.021596
18542,20080118,CAT,62.81000,-0.005572,-0.007317
18542,20080122,CAT,63.82000,-0.009408,-0.010336
18542,20080123,CAT,65.08000,0.019793,0.018216
18542,20080124,CAT,65.25000,0.012549,0.011073
18542,20080125,CAT,65.93000,-0.012997,-0.001540
18542,20080128,CAT,68.21000,0.017174,0.013508
18542,20080129,CAT,68.99000,0.006386,0.007683
18542,20080130,CAT,68.44000,-0.005367,-0.002545
18542,20080131,CAT,70.99000,0.014950,0.015154
18542,20080201,CAT,71.76000,0.015980,0.015751
18542,20080204,CAT,70.95000,-0.008980,-0.003026
18542,20080205,CAT,67.52000,-0.030839,-0.021564
18542,20080206,CAT,67.98000,-0.007987,-0.007234
18542,20080207,CAT,68.32000,0.007727,0.005190
18542,20080208,CAT,68.01000,-0.002064,-0.002751
18542,20080211,CAT,69.42000,0.005798,0.002814
18542,20080212,CAT,70.00000,0.006275,0.004114
18542,20080213,CAT,71.65000,0.014369,0.013170
18542,20080214,CAT,70.44000,-0.013208,-0.013637
18542,20080215,CAT,69.95000,-0.000453,-0.004058
18542,20080219,CAT,70.40000,0.000611,0.002554
18542,20080220,CAT,71.25000,0.008860,0.005108
18542,20080221,CAT,70.79000,-0.011839,-0.009669
18542,20080222,CAT,71.18000,0.006791,0.000398
18542,20080225,CAT,72.25000,0.015089,0.013327
18542,20080226,CAT,73.30000,0.008224,0.009598
18542,20080227,CAT,74.22000,-0.000765,-0.000004
18542,20080228,CAT,74.39000,-0.007709,-0.008707
18542,20080229,CAT,72.33000,-0.026140,-0.020156
18542,20080303,CAT,73.20000,-0.000420,-0.005173
18542,20080304,CAT,71.74000,-0.004785,-0.006713
18542,20080305,CAT,71.85000,0.006934,0.003282
18542,20080306,CAT,70.75000,-0.022016,-0.021415
18542,20080307,CAT,69.84000,-0.008745,-0.007650
18542,20080310,CAT,68.72000,-0.018201,-0.020818
18542,20080311,CAT,72.61000,0.035772,0.027089
18542,20080312,CAT,75.25000,-0.007013,-0.004185
18542,20080313,CAT,75.67000,0.007298,0.007472
18542,20080314,CAT,74.79000,-0.019998,-0.018156
18542,20080317,CAT,74.46000,-0.014932,-0.020958
18542,20080318,CAT,76.87000,0.039578,0.028541
18542,20080319,CAT,73.73000,-0.026075,-0.017066
18542,20080320,CAT,73.82000,0.021198,0.014587
18542,20080324,CAT,76.03000,0.017593,0.021720
18542,20080325,CAT,76.64000,0.005729,0.010894
18542,20080326,CAT,77.36000,-0.006414,-0.002748
18542,20080327,CAT,77.03000,-0.010132,-0.004629
18542,20080328,CAT,77.09000,-0.007969,-0.007239
18542,20080331,CAT,78.29000,0.005305,0.005286
18542,20080401,CAT,79.98000,0.032125,0.020949
18542,20080402,CAT,78.51000,0.000372,0.003264
18542,20080403,CAT,77.07000,0.002675,0.001723
18542,20080404,CAT,77.83000,0.001961,0.002790
18542,20080407,CAT,77.25000,0.001727,0.001831
18542,20080408,CAT,77.59000,-0.003180,-0.002678
18542,20080409,CAT,76.16000,-0.008985,-0.011449
18542,20080410,CAT,75.71000,0.005612,0.005070
18542,20080411,CAT,74.80000,-0.019545,-0.015648
18542,20080414,CAT,75.54000,-0.002552,-0.004390
18542,20080415,CAT,75.95000,0.005078,0.002152
18542,20080416,CAT,79.02000,0.024159,0.017917
18542,20080417,CAT,78.59000,-0.001210,-0.001984
18542,20080418,CAT,85.28000,0.016557,0.012480
18542,20080421,CAT,83.33000,-0.000552,-0.001554
18542,20080422,CAT,82.01000,-0.009271,-0.012820
18542,20080423,CAT,81.69000,0.001118,0.002103
18542,20080424,CAT,81.82000,0.005065,0.007875
18542,20080425,CAT,82.25000,0.006918,0.005700
18542,20080428,CAT,83.03000,0.000238,0.003713
18542,20080429,CAT,81.51000,-0.005675,-0.004852
18542,20080430,CAT,81.88000,-0.001528,0.001720
18542,20080501,CAT,82.35000,0.014528,0.010972
18542,20080502,CAT,82.80000,0.003249,0.000372
18542,20080505,CAT,82.75000,-0.002629,-0.001149
18542,20080506,CAT,83.23000,0.008428,0.006279
18542,20080507,CAT,81.63000,-0.015884,-0.011596
18542,20080508,CAT,82.42000,0.004605,0.002007
18542,20080509,CAT,81.76000,-0.004574,-0.000632
18542,20080512,CAT,83.82000,0.010989,0.010800
18542,20080513,CAT,84.07000,0.000772,0.002637
18542,20080514,CAT,82.75000,0.003054,0.002006
18542,20080515,CAT,83.50000,0.011145,0.008123
18542,20080516,CAT,83.70000,0.002438,0.001134
18542,20080519,CAT,84.28000,-0.000197,-0.000465
18542,20080520,CAT,83.84000,-0.005972,-0.003441
18542,20080521,CAT,83.40000,-0.015340,-0.009030
18542,20080522,CAT,82.22000,0.002913,0.003284
18542,20080523,CAT,81.55000,-0.011543,-0.007284
18542,20080527,CAT,81.95000,0.004898,0.006128
18542,20080528,CAT,83.19000,0.005704,0.003516
18542,20080529,CAT,82.78000,0.004377,0.005273
18542,20080530,CAT,82.64000,0.003256,0.004897
18542,20080602,CAT,82.33000,-0.008998,-0.008327
18542,20080603,CAT,82.42000,-0.004858,-0.001827
18542,20080604,CAT,82.46000,-0.000897,0.001370
18542,20080605,CAT,82.73000,0.020247,0.014712
18542,20080606,CAT,79.99000,-0.026680,-0.019843
18542,20080609,CAT,80.81000,-0.000578,-0.007748
18542,20080610,CAT,80.10000,-0.005006,-0.005357
18542,20080611,CAT,78.93000,-0.015185,-0.014960
18542,20080612,CAT,80.50000,0.001443,0.001061
18542,20080613,CAT,81.50000,0.014679,0.012216
18542,20080616,CAT,80.91000,0.003258,0.005438
18542,20080617,CAT,80.69000,-0.003928,-0.004316
18542,20080618,CAT,79.70000,-0.008276,-0.008334
18542,20080619,CAT,79.48000,0.002407,0.002759
18542,20080620,CAT,79.08000,-0.017458,-0.013799
18542,20080623,CAT,80.00000,-0.000858,-0.008986
18542,20080624,CAT,76.64000,-0.006216,-0.009818
18542,20080625,CAT,76.58000,0.006266,0.007374
18542,20080626,CAT,74.28000,-0.026186,-0.019210
18542,20080627,CAT,73.75000,-0.002502,-0.005735
18542,20080630,CAT,73.82000,-0.001014,-0.005703
18542,20080701,CAT,74.09000,0.001826,-0.006281
18542,20080702,CAT,70.42000,-0.020980,-0.018104
18542,20080703,CAT,70.31000,-0.002414,-0.006058
18542,20080707,CAT,70.81000,-0.008575,-0.011638
18542,20080708,CAT,69.51000,0.017040,0.018354
