PERMNO,date,TICKER,COMNAM,PRC
12490,19780228,IBM,INTERNATIONAL BUSINESS MACHS COR,251.25000
12490,19780331,IBM,INTERNATIONAL BUSINESS MACHS COR,235.50000
12490,19780428,IBM,INTERNATIONAL BUSINESS MACHS COR,266.00000
12490,19780531,IBM,INTERNATIONAL BUSINESS MACHS COR,258.25000
12490,19780630,IBM,INTERNATIONAL BUSINESS MACHS COR,257.25000
12490,19780731,IBM,INTERNATIONAL BUSINESS MACHS COR,281.00000
12490,19780831,IBM,INTERNATIONAL BUSINESS MACHS COR,291.87500
12490,19780929,IBM,INTERNATIONAL BUSINESS MACHS COR,277.00000
12490,19781031,IBM,INTERNATIONAL BUSINESS MACHS COR,264.25000
12490,19781130,IBM,INTERNATIONAL BUSINESS MACHS COR,269.50000
12490,19781229,IBM,INTERNATIONAL BUSINESS MACHS COR,298.50000
12490,19790131,IBM,INTERNATIONAL BUSINESS MACHS COR,308.75000
12490,19790228,IBM,INTERNATIONAL BUSINESS MACHS COR,300.00000
12490,19790330,IBM,INTERNATIONAL BUSINESS MACHS COR,315.50000
12490,19790430,IBM,INTERNATIONAL BUSINESS MACHS COR,314.25000
12490,19790531,IBM,INTERNATIONAL BUSINESS MACHS COR,304.00000
12490,19790629,IBM,INTERNATIONAL BUSINESS MACHS COR,73.37500
12490,19790731,IBM,INTERNATIONAL BUSINESS MACHS COR,69.75000
12490,19790831,IBM,INTERNATIONAL BUSINESS MACHS COR,70.00000
12490,19790928,IBM,INTERNATIONAL BUSINESS MACHS COR,67.75000
12490,19791031,IBM,INTERNATIONAL BUSINESS MACHS COR,62.37500
12490,19791130,IBM,INTERNATIONAL BUSINESS MACHS COR,65.25000
12490,19791231,IBM,INTERNATIONAL BUSINESS MACHS COR,64.37500
12490,19800131,IBM,INTERNATIONAL BUSINESS MACHS COR,68.62500
12490,19800229,IBM,INTERNATIONAL BUSINESS MACHS COR,63.50000
12490,19800331,IBM,INTERNATIONAL BUSINESS MACHS COR,55.75000
12490,19800430,IBM,INTERNATIONAL BUSINESS MACHS COR,54.87500
12490,19800530,IBM,INTERNATIONAL BUSINESS MACHS COR,55.37500
12490,19800630,IBM,INTERNATIONAL BUSINESS MACHS COR,58.75000
12490,19800731,IBM,INTERNATIONAL BUSINESS MACHS COR,65.25000
12490,19800829,IBM,INTERNATIONAL BUSINESS MACHS COR,65.50000
12490,19800930,IBM,INTERNATIONAL BUSINESS MACHS COR,64.12500
12490,19801031,IBM,INTERNATIONAL BUSINESS MACHS COR,66.62500
12490,19801128,IBM,INTERNATIONAL BUSINESS MACHS COR,68.12500
12490,19801231,IBM,INTERNATIONAL BUSINESS MACHS COR,67.87500
12490,19810130,IBM,INTERNATIONAL BUSINESS MACHS COR,64.37500
12490,19810227,IBM,INTERNATIONAL BUSINESS MACHS COR,64.25000
12490,19810331,IBM,INTERNATIONAL BUSINESS MACHS COR,62.37500
12490,19810430,IBM,INTERNATIONAL BUSINESS MACHS COR,58.62500
12490,19810529,IBM,INTERNATIONAL BUSINESS MACHS COR,58.75000
12490,19810630,IBM,INTERNATIONAL BUSINESS MACHS COR,57.87500
12490,19810731,IBM,INTERNATIONAL BUSINESS MACHS COR,56.12500
12490,19810831,IBM,INTERNATIONAL BUSINESS MACHS COR,55.12500
12490,19810930,IBM,INTERNATIONAL BUSINESS MACHS COR,54.12500
12490,19811030,IBM,INTERNATIONAL BUSINESS MACHS COR,51.50000
12490,19811130,IBM,INTERNATIONAL BUSINESS MACHS COR,54.50000
12490,19811231,IBM,INTERNATIONAL BUSINESS MACHS COR,56.87500
12490,19820129,IBM,INTERNATIONAL BUSINESS MACHS COR,63.62500
12490,19820226,IBM,INTERNATIONAL BUSINESS MACHS COR,61.87500
12490,19820331,IBM,INTERNATIONAL BUSINESS MACHS COR,59.75000
12490,19820430,IBM,INTERNATIONAL BUSINESS MACHS COR,64.25000
12490,19820528,IBM,INTERNATIONAL BUSINESS MACHS COR,61.50000
12490,19820630,IBM,INTERNATIONAL BUSINESS MACHS COR,60.62500
12490,19820730,IBM,INTERNATIONAL BUSINESS MACHS COR,65.62500
12490,19820831,IBM,INTERNATIONAL BUSINESS MACHS COR,70.50000
12490,19820930,IBM,INTERNATIONAL BUSINESS MACHS COR,73.37500
12490,19821029,IBM,INTERNATIONAL BUSINESS MACHS COR,79.87500
12490,19821130,IBM,INTERNATIONAL BUSINESS MACHS COR,86.50000
12490,19821231,IBM,INTERNATIONAL BUSINESS MACHS COR,96.25000
12490,19830131,IBM,INTERNATIONAL BUSINESS MACHS COR,98.87500
12490,19830228,IBM,INTERNATIONAL BUSINESS MACHS COR,99.00000
